"order_month","product_category_name","order_count"
"2016-10","beleza_saude","48"
"2018-01","livros_interesse_geral","47"
"2017-04","pet_shop","47"
"2017-11","construcao_ferramentas_construcao","47"
"2018-02","eletrodomesticos","47"
"2017-04","eletronicos","47"
"2018-04","consoles_games","47"
"2018-07","consoles_games","46"
"2017-07","consoles_games","46"
"2017-01","cama_mesa_banho","46"
"2017-12","malas_acessorios","46"
"2017-03","pet_shop","45"
"2018-04","construcao_ferramentas_iluminacao","45"
"2018-08",NULL,"45"
"2017-03","bebes","44"
"2018-06","construcao_ferramentas_iluminacao","44"
"2017-11","casa_conforto","44"
"2018-05","industria_comercio_e_negocios","44"
"2017-06","eletrodomesticos","43"
"2018-06","consoles_games","43"
"2018-07","eletroportateis","43"
"2017-07","casa_conforto","43"
"2017-09","malas_acessorios","43"
"2018-05","construcao_ferramentas_iluminacao","43"
"2017-06","eletronicos","43"
"2018-08","instrumentos_musicais","43"
"2017-12","instrumentos_musicais","43"
"2018-03","casa_construcao","42"
"2017-09","pcs","42"
"2018-01","casa_construcao","42"
"2017-01","brinquedos","42"
"2018-02","instrumentos_musicais","42"
"2017-12","livros_interesse_geral","41"
"2017-01","cool_stuff","40"
"2017-02","fashion_bolsas_e_acessorios","40"
"2017-02","pet_shop","40"
"2018-08","moveis_sala","40"
"2018-02","casa_construcao","39"
"2018-06","livros_interesse_geral","39"
"2017-04","papelaria","39"
"2018-05","artes","39"
"2017-02","bebes","39"
"2017-12","casa_construcao","39"
"2017-06","papelaria","38"
"2017-11","moveis_sala","38"
"2017-11","livros_interesse_geral","38"
"2018-03","livros_interesse_geral","38"
"2017-03","eletronicos","38"
"2017-11","casa_construcao","38"
"2017-03","malas_acessorios","37"
"2018-03","alimentos","37"
"2018-03","eletroportateis","37"
"2018-02","alimentos","37"
"2017-05","casa_conforto","37"
"2018-02","industria_comercio_e_negocios","36"
"2018-06","malas_acessorios","36"
"2017-07","eletrodomesticos","36"
"2018-04","alimentos","36"
"2017-08","eletroportateis","36"
"2017-01","bebes","36"
"2018-08","livros_interesse_geral","36"
"2017-11","audio","35"
"2018-07","instrumentos_musicais","35"
"2017-09","casa_conforto","35"
"2017-07","eletroportateis","35"
"2017-01","perfumaria","34"
"2017-12","bebidas","34"
"2017-11","moveis_cozinha_area_de_servico_jantar_e_jardim","34"
"2017-01","fashion_bolsas_e_acessorios","34"
"2018-08","moveis_escritorio","33"
"2017-10","audio","33"
"2018-02","eletroportateis","33"
"2017-02","relogios_presentes","33"
"2017-10","eletroportateis","33"
"2018-06","bebidas","33"
"2018-03","audio","33"
"2016-10","perfumaria","33"
"2017-01","automotivo","33"
"2018-02","bebidas","32"
"2017-07","instrumentos_musicais","32"
"2017-09","eletroportateis","32"
"2018-04","audio","32"
"2018-04","sinalizacao_e_seguranca","32"
"2018-03","agro_industria_e_comercio","31"
"2017-12","eletroportateis","31"
"2017-03","eletroportateis","31"
"2017-05","moveis_sala","31"
"2018-03","industria_comercio_e_negocios","30"
"2018-08","livros_tecnicos","30"
"2017-06","consoles_games","30"
"2018-08","bebidas","30"
"2018-07","agro_industria_e_comercio","30"
"2018-06",NULL,"30"
"2018-06","moveis_cozinha_area_de_servico_jantar_e_jardim","30"
"2017-01","informatica_acessorios","30"
"2018-05","construcao_ferramentas_seguranca","30"
"2017-08","livros_interesse_geral","30"
"2018-04","moveis_sala","30"
"2017-11","alimentos_bebidas","30"
"2018-01","eletrodomesticos","29"
"2017-09","instrumentos_musicais","29"
"2018-02","livros_interesse_geral","29"
"2017-11","eletroportateis","29"
"2017-05","consoles_games","29"
"2018-06","moveis_sala","29"
"2018-07","livros_tecnicos","28"
"2018-06","artes","28"
"2017-07","moveis_sala","28"
"2017-12","construcao_ferramentas_construcao","28"
"2017-02","eletroportateis","28"
"2017-05","eletrodomesticos","28"
"2018-02","market_place","28"
"2018-07","sinalizacao_e_seguranca","28"
"2018-04","construcao_ferramentas_seguranca","28"
"2018-05","alimentos_bebidas","27"
"2017-10","casa_conforto","27"
"2016-10","brinquedos","27"
"2018-01","climatizacao","27"
"2018-03","climatizacao","27"
"2018-06","sinalizacao_e_seguranca","27"
"2017-10","instrumentos_musicais","27"
"2017-01","utilidades_domesticas","27"
"2017-08","pcs","27"
"2018-08","audio","26"
"2018-06","livros_tecnicos","26"
"2018-08","construcao_ferramentas_seguranca","26"
"2017-08","casa_conforto","26"
"2018-02","moveis_sala","26"
"2017-08","moveis_sala","26"
"2017-01","telefonia","26"
"2017-08","instrumentos_musicais","26"
"2018-02","livros_tecnicos","25"
"2018-08","eletroportateis","25"
"2018-02","artigos_de_natal","25"
"2018-02","agro_industria_e_comercio","25"
"2018-06","industria_comercio_e_negocios","25"
"2017-03","livros_interesse_geral","25"
"2018-07","construcao_ferramentas_jardim","25"
"2017-12","alimentos_bebidas","25"
"2018-07","livros_interesse_geral","25"
"2018-01","audio","25"
"2017-02","moveis_sala","24"
"2018-03","construcao_ferramentas_jardim","24"
"2017-03","alimentos","24"
"2018-01","construcao_ferramentas_jardim","24"
"2018-06","alimentos","24"
"2018-02","alimentos_bebidas","24"
"2017-10","pcs","24"
"2018-05","eletrodomesticos_2","23"
"2017-04","fashion_calcados","23"
"2018-07","casa_conforto","23"
"2017-02","malas_acessorios","23"
"2017-03","moveis_sala","23"
"2018-07","moveis_cozinha_area_de_servico_jantar_e_jardim","23"
"2017-12","pcs","23"
"2018-08","sinalizacao_e_seguranca","23"
"2017-02","telefonia_fixa","23"
"2018-04","eletrodomesticos_2","23"
"2018-08","construcao_ferramentas_jardim","23"
"2018-04","artes","23"
"2017-02","market_place","23"
"2018-07","audio","22"
"2018-05","audio","22"
"2018-04","climatizacao","22"
"2017-06","eletroportateis","22"
"2018-07","eletrodomesticos_2","22"
"2018-05","casa_conforto","22"
"2017-08","market_place","22"
"2018-01","moveis_sala","22"
"2017-08","fashion_calcados","22"
"2017-05","fashion_calcados","22"
"2017-11","eletrodomesticos","22"
"2016-10","informatica_acessorios","21"
"2018-03","bebidas","21"
"2018-04","moveis_cozinha_area_de_servico_jantar_e_jardim","21"
"2017-01",NULL,"21"
"2017-05","instrumentos_musicais","21"
"2017-01","telefonia_fixa","21"
"2018-02","eletrodomesticos_2","21"
"2018-02","casa_conforto","21"
"2017-05","market_place","21"
"2018-01","moveis_cozinha_area_de_servico_jantar_e_jardim","21"
"2017-01","consoles_games","21"
"2017-11","artigos_de_natal","21"
"2018-08","alimentos_bebidas","21"
"2017-03","telefonia_fixa","21"
"2017-12","moveis_sala","21"
"2018-08","climatizacao","21"
"2017-06","livros_interesse_geral","21"
"2018-08","moveis_cozinha_area_de_servico_jantar_e_jardim","21"
"2017-06","fashion_calcados","20"
"2018-06","audio","20"
"2017-04","eletroportateis","20"
"2018-05","moveis_sala","20"
"2017-02","consoles_games","20"
"2018-03","casa_conforto","20"
"2018-01","alimentos","20"
"2017-11","fashion_calcados","20"
"2018-07","artes","20"
"2017-04","market_place","20"
"2017-07","fashion_calcados","20"
"2017-06","instrumentos_musicais","20"
